ID,Title,Firstname,Lastname,DateOfBirth,JoinDate,EmailAddress,EmailOptIn,Mobile,Locale,MobileOptIn,StreetAddress1,StreetAddress2,City,State,Postcode,Country,LatestStoreID,LTV
0cf37846-21a8-499f-99da-63356c7d617d,Mr,Ali,Elly,1975-07-09,2021-02-08,SFMCTrainingSample21@email.com,1,,,,7521 Porta Av.,,Melbourne,VIC,3000,Australia,,
39261508-16fc-48bc-9c6e-83032af8c89a,Ms,Maryann,Lizbeth,1991-01-05,2021-01-04,SFMCTrainingSample22@email.com,1,,,,2735 Innar Av.,,Melbourne,VIC,3000,Australia,,
a583e6ac-8c53-45a7-9b56-627864182349,Mr,Lucius,Bridgette,2006-05-01,2021-03-22,SFMCTrainingSample23@email.com,1,,,,496 Commodo Rd.,,Brisbane,QLD,4000,Australia,,
98874d2c-e33b-465c-ad29-dae2b2a9355a,Mrs,Lucile,Alannis,1968-04-24,2021-07-16,SFMCTrainingSample24@email.com,1,,,,7718 Bibendum St.,,Brisbane,QLD,4000,Australia,,
c15fa304-e6ca-4a67-99d9-1778ce74d4d9,Mr,Nowell,Kerrie,1982-01-10,2021-06-26,SFMCTrainingSample25@email.com,1,,,,55 Ettal Ave,,Melbourne,VIC,3000,Australia,,
25ec4d63-7499-44be-95c1-9d85fec6efd2,,Chesley,Alva,1976-01-01,2021-07-21,SFMCTrainingSample26@email.com,0,,,,824 Magna Avenue,,Sydney,NSW,2000,Australia,,
c648e9bd-d795-4212-8f85-66f761d87b91,Mr,Maple,Alan,1993-11-01,2021-04-06,SFMCTrainingSample27@email.com,1,,,,54 Donec Road,,Brisbane,QLD,4000,Australia,,
877d1d8b-834c-4b9b-b355-efea09e09fd4,Mr,Terri,Edwena,1981-04-21,2021-03-08,SFMCTrainingSample28@email.com,0,,,,1877 Ligula. Rd.,,Sydney,NSW,2000,Australia,,
3a9bf0a9-ad5b-4b0f-a71a-e3d5b5f5b12b,Mr,Camryn,Romy,1978-03-11,2021-04-20,SFMCTrainingSample29@email.com,1,,,,2422 Ligula. St.,,Sydney,NSW,2000,Australia,,
2fccff7f-895c-4660-a6f1-e443ccab43d3,Ms,Maureen,Art,1970-04-23,2021-06-12,SFMCTrainingSample30@email.com,1,,,,3562 Vitae St.,,Melbourne,VIC,3000,Australia,,
f5c81687-5e29-47ef-ac4d-375e5a744e42,,Harriet,Cat,1978-07-12,2021-07-09,SFMCTrainingSample31@email.com,1,,,,424 Adipiscing. St.,,Melbourne,VIC,3000,Australia,,
44ee6383-39f4-42cb-bf42-f7b8ef6c10b0,Mr,Blaze,Austen,1975-11-10,2021-05-18,SFMCTrainingSample32@email.com,1,,,,640 Donec Road,,Brisbane,QLD,4000,Australia,,
37ca0873-6000-4f32-9a57-b06e6c61a8b5,Mr,Murphy,Emmanuel,1990-01-28,2021-07-22,SFMCTrainingSample33@email.com,1,,,,5625 Suspendisse Rd.,,Melbourne,VIC,3000,Australia,,
3ec1a0d7-00f5-4ea1-b30d-c18f6db8c6c1,Mrs,Milani,Doreen,2001-11-19,2021-07-06,SFMCTrainingSample34@email.com,1,,,,6726 Nulla Rd.,,Brisbane,QLD,4000,Australia,,
95d71f8d-842d-47d4-81ff-9a75ac3679e5,,Malvina,Avery,1984-10-11,2021-06-16,SFMCTrainingSample35@email.com,1,,,,1181 Suspendisse Avenue,,Sydney,NSW,2000,Australia,,
22d62b77-dd9b-4695-849b-7d5c930144e2,,Davinia,Maddy,1998-07-02,2021-03-20,SFMCTrainingSample36@email.com,1,,,,4944 Mill St.,,Sydney,NSW,2000,Australia,,
f16dbec7-3634-4575-a149-eb7d1c774bee,Ms,Emil,Amelia,1968-12-01,2021-06-05,SFMCTrainingSample37@email.com,0,,,,5979 Nulla St.,,Brisbane,QLD,4000,Australia,,
1b10db4c-85b8-48bf-bbe6-ea6c542b8af4,Ms,Rachyl,Shirlee,1971-01-18,2021-04-20,SFMCTrainingSample38@email.com,1,,,,2309 Praesent Road,,Brisbane,QLD,4000,Australia,,
396a6f57-b313-444c-91be-53813f403e1e,Mr,Braiden,Tex,1966-11-11,2021-02-21,SFMCTrainingSample39@email.com,1,,,,7795 Aliquam Rd.,,Brisbane,QLD,4000,Australia,,
b055d685-00ff-43c1-b091-8598307244a6,Mr,Leopold,Katharine,1975-05-21,2021-01-26,SFMCTrainingSample40@email.com,1,,,,4596 Consequat Avenue,,Sydney,NSW,2000,Australia,,
4e42d2ac-04a6-4874-837c-0b6f103755b0,Mr,Brett,Baker,1978-11-22,2021-05-16,SFMCTrainingSample41@email.com,0,,,,1656 Phasellus St.,,Melbourne,VIC,3000,Australia,,
07cdb390-4a24-401b-a451-3546e2ccb7ea,Mrs,Bernadette,Sheenagh,1965-01-22,2021-01-28,SFMCTrainingSample42@email.com,1,,,,489 Phasellus Street,,Melbourne,VIC,3000,Australia,,
d16d9f9e-59f2-4cf0-8caf-e820174ee498,Mr,Noble,Louisa,1993-03-20,2021-06-14,SFMCTrainingSample43@email.com,1,,,,626 Mauris St.,,Brisbane,QLD,4000,Australia,,
ac8e2135-73df-4e6d-ad51-a0c3a1431c7a,Ms,Albin,Johnnie,1999-07-18,2021-01-27,SFMCTrainingSample44@email.com,1,,,,2214 Netus Rd.,,Brisbane,QLD,4000,Australia,,
d6f84199-074d-49d9-8bfc-9261f88b6bfa,Mr,Byrne,Theodore,1962-04-16,2021-03-10,SFMCTrainingSample45@email.com,1,,,,1769 Quisque St.,,Melbourne,VIC,3000,Australia,,
622a826c-dd49-4faa-b1e4-cc7ea7682728,Mr,Peronel,Joetta,2002-04-19,2021-01-14,SFMCTrainingSample46@email.com,0,,,,2332 Ender Rd.,,Sydney,NSW,2000,Australia,,
14ca13a1-8ddf-4e0a-a1a3-7d433478916a,Mrs,Thelma,Carina,2002-02-03,2021-05-18,SFMCTrainingSample47@email.com,1,,,,6896 Faucibus. St.,,Brisbane,QLD,4000,Australia,,
530f960d-39f6-42c6-9c67-1d80dc5c91fc,Mr,Charles,Hilary,1965-05-12,2021-02-25,SFMCTrainingSample48@email.com,1,,,,4684 Ipsum Street,,Melbourne,VIC,3000,Australia,,
8c3e9cd3-bda9-467e-965b-fbd4c2aa8f0d,Mrs,Vickie,Lexy,1969-05-19,2021-03-26,SFMCTrainingSample49@email.com,1,,,,2225 Pellentesque. Rd.,,Brisbane,QLD,4000,Australia,,
51432c9f-1d05-45fa-8991-dd324629bd87,Mr,Ely,Erick,1970-05-04,2021-04-29,SFMCTrainingSample50@email.com,1,,,,4364 Sem St.,,Sydney,NSW,2000,Australia,,
